sensorMov,hora,dia,dia_semana,sensorLDR,lamp
0,00:57:45,21-09-18,5,746,lamp
0,00:57:46,21-09-18,5,748,lamp
0,00:57:46,21-09-18,5,746,lamp
1,00:57:47,21-09-18,5,743,lamp
0,00:57:47,21-09-18,5,744,lamp
0,00:57:48,21-09-18,5,747,lamp
0,00:57:48,21-09-18,5,749,lamp
0,00:57:49,21-09-18,5,747,lamp
0,00:57:49,21-09-18,5,746,lamp
0,00:57:50,21-09-18,5,743,lamp
0,00:57:50,21-09-18,5,743,lamp
0,00:57:51,21-09-18,5,748,lamp
0,00:57:51,21-09-18,5,748,lamp
0,00:57:52,21-09-18,5,747,lamp
0,00:57:52,21-09-18,5,744,lamp
0,00:57:53,21-09-18,5,742,lamp
0,00:57:53,21-09-18,5,746,lamp
0,00:57:54,21-09-18,5,747,lamp
0,00:57:54,21-09-18,5,748,lamp
0,00:57:55,21-09-18,5,746,lamp
0,00:57:55,21-09-18,5,745,lamp
0,00:57:56,21-09-18,5,744,lamp
0,00:57:56,21-09-18,5,742,lamp
0,00:57:57,21-09-18,5,747,lamp
0,00:57:57,21-09-18,5,747,lamp
0,00:57:58,21-09-18,5,747,lamp
0,00:57:58,21-09-18,5,746,lamp
0,00:57:59,21-09-18,5,742,lamp
0,00:57:59,21-09-18,5,745,lamp
0,00:58:00,21-09-18,5,748,lamp
0,00:58:00,21-09-18,5,747,lamp
0,00:58:01,21-09-18,5,748,lamp
0,00:58:01,21-09-18,5,746,lamp
0,00:58:02,21-09-18,5,746,lamp
0,00:58:02,21-09-18,5,743,lamp
0,00:58:03,21-09-18,5,747,lamp
0,00:58:03,21-09-18,5,746,lamp
0,00:58:04,21-09-18,5,749,lamp
0,00:58:04,21-09-18,5,748,lamp
0,00:58:05,21-09-18,5,745,lamp
0,00:58:05,21-09-18,5,743,lamp
0,00:58:06,21-09-18,5,746,lamp
0,00:58:06,21-09-18,5,747,lamp
0,00:58:07,21-09-18,5,749,lamp
0,00:58:07,21-09-18,5,749,lamp
0,00:58:08,21-09-18,5,747,lamp
0,00:58:08,21-09-18,5,745,lamp
0,00:58:09,21-09-18,5,746,lamp
0,00:58:09,21-09-18,5,746,lamp
0,00:58:10,21-09-18,5,749,lamp
0,00:58:10,21-09-18,5,749,lamp
0,00:58:11,21-09-18,5,750,lamp
0,00:58:11,21-09-18,5,746,lamp
0,00:58:12,21-09-18,5,744,lamp
0,00:58:12,21-09-18,5,748,lamp
0,00:58:13,21-09-18,5,748,lamp
0,00:58:13,21-09-18,5,750,lamp
0,00:58:14,21-09-18,5,749,lamp
0,00:58:14,21-09-18,5,747,lamp
0,00:58:15,21-09-18,5,746,lamp
0,00:58:15,21-09-18,5,746,lamp
0,00:58:16,21-09-18,5,752,lamp
0,00:58:16,21-09-18,5,752,lamp
0,00:58:17,21-09-18,5,747,lamp
0,00:58:17,21-09-18,5,747,lamp
0,00:58:18,21-09-18,5,748,lamp
0,00:58:18,21-09-18,5,748,lamp
0,00:58:19,21-09-18,5,750,lamp
0,00:58:19,21-09-18,5,751,lamp
0,00:58:20,21-09-18,5,748,lamp
0,00:58:20,21-09-18,5,746,lamp
1,00:58:21,21-09-18,5,749,lamp
1,00:58:22,21-09-18,5,749,lamp
0,00:58:22,21-09-18,5,752,lamp
0,00:58:23,21-09-18,5,751,lamp
0,00:58:23,21-09-18,5,744,lamp
0,00:58:24,21-09-18,5,750,lamp
0,00:58:24,21-09-18,5,748,lamp
0,00:58:25,21-09-18,5,752,lamp
0,00:58:25,21-09-18,5,749,lamp
0,00:58:26,21-09-18,5,746,lamp
0,00:58:26,21-09-18,5,750,lamp
0,00:58:27,21-09-18,5,751,lamp
0,00:58:27,21-09-18,5,751,lamp
0,00:58:28,21-09-18,5,750,lamp
0,00:58:28,21-09-18,5,747,lamp
0,00:58:29,21-09-18,5,751,lamp
0,00:58:29,21-09-18,5,751,lamp
0,00:58:30,21-09-18,5,752,lamp
0,00:58:30,21-09-18,5,748,lamp
0,00:58:31,21-09-18,5,747,lamp
0,00:58:31,21-09-18,5,749,lamp
0,00:58:32,21-09-18,5,752,lamp
0,00:58:32,21-09-18,5,752,lamp
0,00:58:33,21-09-18,5,749,lamp
0,00:58:33,21-09-18,5,746,lamp
0,00:58:34,21-09-18,5,749,lamp
0,00:58:34,21-09-18,5,748,lamp
0,00:58:35,21-09-18,5,752,lamp
